__label__1, 先 見通す  つなぐ  できる 振り返る つなぐ  できる 将来 形 点 つながる 信じる なる by : アップル 創業 者 :
__label__1, 志 野心 違う 志 世  人  思い 野心 私利 私欲 野心 なす 事柄 一代 はかない 消える しまう 志 必ず それ 受け継ぐ くれる 同志 現れる by : SBI ホールディングス CEO :
__label__1, まず やる みる できる すぐ 音 上げる できる  なぜ できる  考える 知恵 工夫 努力 十分 どう もう一度 反省 する みる  見方 少し 変える もう一度 やり直す みる by : SBI ホールディングス CEO :
__label__1, 俺 何 度 何 度 失敗 する 打ちのめす れる それ 俺 成功 する 理由 by : NBA :
__label__1, 勝負 世界 これ よし 消極 的 姿勢 なる  一番 怖い 組織 企業 常に 前進 めざす ストップ する 後退 始まる by : 将棋 棋士 :
__label__1, 人生 野球 失敗 後悔 連続 by : メジャー リーガー :
__label__1, うまい 作る 必要  ない うまい できる 作品 面白い へったくれ ない かまう どんどん 下手 やる なさる by : 画家 現代 美術家 :
__label__1, 希望 人 成功 導く 信仰 希望 ない 何事 成就 する  by :
__label__1, いくら 自分 完璧 求める 完璧 人間 どこ いる 結局 自分 他人 失敗 学ぶ いく ない  by :
__label__1, 俺 後退 ない !! ある  前進 勝利 !! by : 北斗 拳 : ラオウ
__label__1, 永遠 命 思う 夢 持つ 今日  命 思う 生きる  by : 俳優 ( アメリカ ):
__label__1, あなた できる  夢見る いる  ある 今 すぐ 始める なさる 向こう 見る 天才 力 魔法 今 すぐ 始める なさる by : 詩人 小説 家 :
__label__1, 新しい 発想 得る 思う まず 誰 話 聞く by : 本田技研工業 創業 者 : 本田
__label__1, 限界 ない  限界 口 する いる 自分 ある する 限界 こだわる 私 言う せる 限界 言葉 この世 限界 いう 限界 できる  by : プロレスラー :
__label__1, なに 落胆 する てる  バカ 真実 語れる  ! by : 漫画 家 :
__label__1, 質問 角度 少し 変える 選ぶ 言葉 少し 変える 少し 言葉 加える 答え 大きい 変わる くる by : 書道 家 :  雲
__label__1, 失敗 する  やめる しまう 失敗 なる 成功 する  続ける それ 成功 名 なる by :
__label__1, 人生 希望 6 割 達成 できる まあ いい 7 割 いく 上出来 8 割 できる 感謝 する  by : 日本 マクドナルド :  田
__label__1, そろそろ 自分 信じる いい  今 君 もう 十 分  越える いる by : スラムダンク :  先生
__label__1, 最後 希望 すてる いく あきらめる 試合 終了 by : スラムダンク :  先生
__label__1, あなた 苦しみ 愛す なさる それ 抵抗 する  それ 逃げる  苦しい  あなた 逃げる いる by : 作家 詩人 ( ドイツ ): ヘルマン・ヘッセ
__label__1, 今日 できる  明日 延ばす 今日 それ 片付ける 明日 それ 楽しみ なる by : 作家 : ジェイムズ・ミッチェナー
__label__1, 時間 活用 浪費 違い 成果 業績 直接 現れる 知識 労働 者 成果 あげる  第一歩 実際 時間 使い方 記録 する  by : 経営 学者 : P . F . ドラッカー
__label__1, リーダーシップ 一番 必要 資質 勇気 思う by : ディズニー 創業 者 : ウォルト・ディズニー
__label__1, 夢 見る られる 実現 できる by : ディズニー 創業 者 : ウォルト・ディズニー
__label__1, 仕事 喜ぶ 引き受ける くださる やる 仕事 意 沿う 仕事 あなた 磨き 強い する 力 秘める いる by : 京セラ KDDI 創業 者 : 稲
__label__1, 問題 未来 私 過去 振り返る by : ビル
__label__1, 悪い 知らせ 早い 知らす れる なる by : ビル
__label__1, ( リーダー 持つ 3 ポイント 理念 ビジョン 戦略 ) 3 持つ いる リーダー つく いく これ 僕 日本 学生 諸君 サラリーマン 人 たち 言う  もちろん 政治 家 経営 者 by : ソフトバンク : 孫
__label__1, 常に 道 ある 仕方 ない 難しい 言葉 言う 言う 解決 遠ざかる by : ソフトバンク : 孫
__label__1, 完璧 目指す まず 終わる せる by : facebook : マーク ザッカーバーグ
__label__1, 壁  できる 人 やってくる 超える られる 可能 性 ある 人 やってくる 壁 ある  チャンス 思う いる by : メジャー リーガー :
__label__1, 120 パーセント 欲 かく 最初 100 パーセント 自分  日頃 心がける いる  備え 出し切る  目標 する  いい by : メジャー リーガー :
__label__1, やれる  やる いける  やる いい by : 作家 :
__label__1, 挑戦 する  失敗 何 する  恐れる by : 本田
__label__1, 不幸 人間 いつも 自分 不幸  自慢 する いる  by : 哲学 者 : バートランド・ラッセル
__label__1, 常識 外れ 思想 持つ  恐れる いける 今日 常識 ほとんど 元々 常識 外れ 思想 生まれる いる  by : 哲学 者 : バートランド・ラッセル
__label__1, 今日 嫌  ある 明日 大丈夫 ♪
__label__1, 前向き 前向き ♪ ポジティブポジティブ ♪
__label__1, 人生 あまり むずかしい 考える なさる 暗い 窓 開ける 光 さして くる by :   ( 思想家 )
__label__1, 希望 世界 状態 心 状態 by : ヴァーツラフ・ハヴェル ( 劇 作家 )
__label__1, 人 運命 囚われる いる  自分 心 囚われる いる  by : フランクリン・ルーズベルト
__label__1, 喜び むかう 思想 健康 むく  by :  ( 哲学 者 )
__label__1, 醜い  美 それ 見える 目 何 発見 できる by : マルセル・カルネ ( 映画 監督 )
__label__1, 人間 生活 矛盾 だらけ それ 耐える マイナス 面 プラス 面 転化 する ゆく  それ 創る   by :   ( 芸術 家 )
__label__1, 期待 不安 分かつ がたい 期待 ない 不安 不安 ない 期待 by : ラ・ロシュフコー ( 著述 家 )
__label__1, あなた 考え あなた 言葉 なる 現れる あなた 言葉 常に あなた 心 状態 象徴 的 表現 する いる by :   ( 思想家 )
__label__1, 誰 自分 受け入れる 技術 学ぶ 自尊 心 持つ  できる by : ジョシュア・リーブマン ( 作家 )
__label__1, 危惧 念 心 扉 叩く 心配 不安 疑念 心 よぎる 自分 ビジョン 自分 目標 見つめる なさる by :   ( 思想家 )
__label__1, 無限 発展 する 道 いくらでも ある 要は その道 探し出す 努力 by :
__label__1, 自己 イメージ 習慣 一体 なる 進む いく  変える 自動的 もう 一方 変わる by : マクスウェル・マルツ ( 心理 研究 者 )
__label__1, 苦労 語る 前 私 まず 自分 自身 幸運 感謝 する by :
__label__1, 暗示 かける  意味 あなた 高める 鼓舞 する  暗示 与える  する by :   ( 思想家 )
__label__1, 自信 希望 免疫 力 高める コレステロール 下げる by : ノーマン・カズンズ ( 作家 )
__label__1, いい  長い 続く 悪い  長い 続く  by :
__label__1, 私 考え いつも 前進 する  もし 神 人間 後退 望み 人間 頭 うし ろ 目 一つ おつけ なる いる by : ビクトル・ユーゴー
__label__1, 人間 心  闇 力 光 力 間 永遠 戦い 激しい 行う れる いる by :
__label__1, 嫌 気持 成功 鍵 握る いる by : ロバート・キヨサキ ( 投資 家 )
__label__1, 場面 ぶつかる 自分 前向き 期待 持つ 続ける  純然 楽観 主義 by :  ウェイ トリー ( 思想家 )
__label__1, 苦しい  苦しみ こだわる 美しい  目 向ける  素晴らしい 知恵 by : モーリス・エルゾーグ ( 登山 家 )
__label__1, 自分 信頼 する 始める ただちに 生き方 変わる by :
__label__1, しんどい 感じる  成長 する いる  by :
__label__1, これ ない きみ たち よく 言う これ ない  世の中 何 ない  by :
__label__1, 自分 何 耐える られる  知る なさる 落ち込む いる  見える 良い  あなた 自身 救う  by : よい とぶ
__label__1, 私 たち 傷つける  自分 身 起こる  起こる  反応 by :  R コヴィー
__label__1, 考える わかる  わかる by : 北方
__label__1, 不幸 困難 それ それ  良い  必ず 隠す れる いる by :
__label__1, 毎日 毎日 試合 全力 プレー する それ 積み重ねる いく ない  一 打席 一 打席 一 球 一 球 集中 する プレー する ない by :
__label__1, 障害 不便 不幸 ある by :
__label__1, 奇跡  起こす 価値 ある  by :   ト ( 世紀 エヴァンゲリオン
__label__1, 迷う ダメ  人生 答え 考える 分かる    ぎりぎり 一 杯 生きる いる 奴 答え 見える くる  by :
__label__1, 成功 する 成功 する 決して 諦める  by :
__label__1, ヒット 打つ 瞬間 自分 頭  レベル 上がる 音 する  ドラゴン クエスト  by :
__label__1, 私 10 回 9 回 失敗 する  気づく 10 倍 働く by : バーナード・ショウ
__label__1, 自分 自身 愛する  一 生涯 続く ロマンス 始める  by :  ワイルド
