2018-10-30 11:16:27	Mostnegative	死ぬ  一 人
2018-10-23 21:46:32	Mostnegative	暮れ ない 昼 ない
2018-10-22 15:46:56	Mostnegative	英雄 最後 鼻 つく 英雄 なる
2018-10-22 14:16:45	Mostnegative	暮れ ない 昼 ない
2018-10-22 12:46:55	Mostnegative	人生 リセット ボタン 電源 ボタン ある
2018-10-22 11:16:46	Mostnegative	この世 平等 ゲーム ない
2018-10-22 09:46:50	Mostnegative	不幸 単独 やってくる
2018-10-22 08:16:43	Mostnegative	生きる 理由 : 特に ない 死ぬ 理由 : 特に ない
2018-10-22 06:46:48	Mostnegative	お前 ら 代わり いる
2018-10-22 05:16:42	Mostnegative	我々 幸福 なる  幸福 人 思う せる  四苦八苦 する いる
2018-10-22 03:46:52	Mostnegative	人生 しょせん 金 全て きれい ごと  無い 人間 戯言
2018-10-22 02:16:44	Mostnegative	さらに 良い する 駄目 する いる  よく ある
2018-10-22 00:46:54	Mostnegative	英雄 最後 鼻 つく 英雄 なる
2018-10-21 23:16:42	Mostnegative	伸びる いく 生える くる
2018-10-21 21:46:52	Mostnegative	人生 リセット ボタン 電源 ボタン ある
2018-10-21 20:16:43	Mostnegative	もっと 美しい 生まれる 生まれる
2018-10-21 17:16:41	Mostnegative	死ぬ  一 人
2018-10-21 15:46:52	Mostnegative	人生 送りバント
2018-10-21 14:16:44	Mostnegative	我々 幸福 なる  幸福 人 思う せる  四苦八苦 する いる
2018-10-21 12:46:54	Mostnegative	死ぬ  一時 苦 生きる  一生 苦
2018-10-21 11:16:42	Mostnegative	お前 ら 代わり いる
2018-10-21 09:46:50	Mostnegative	伸びる いく 生える くる
2018-10-21 08:16:42	Mostnegative	この世 平等 ゲーム ない
2018-10-21 06:46:51	Mostnegative	幸福 夢 過ぎる 苦労 現実
2018-10-21 05:16:41	Mostnegative	生きる 理由 : 特に ない 死ぬ 理由 : 特に ない
2018-10-21 02:16:44	Mostnegative	人生 送りバント
2018-10-21 00:46:53	Mostnegative	我々 幸福 なる  幸福 人 思う せる  四苦八苦 する いる
2018-10-20 23:16:39	Mostnegative	不幸 単独 やってくる
2018-10-20 21:46:52	Mostnegative	命 全て 人間 平等 与える られる いる 価値 平等 ない
2018-10-20 20:16:42	Mostnegative	伸びる いく 生える くる
2018-10-20 18:46:48	Mostnegative	死ぬ  一 人
2018-10-20 17:16:40	Mostnegative	疑う 始まる
2018-10-20 15:46:53	Mostnegative	暮れ ない 昼 ない
2018-10-20 14:16:44	Mostnegative	夢 叶う 夢
2018-10-20 12:46:55	Mostnegative	人 迷惑 かける 死ぬ 方法 ある 教える 欲しい
2018-10-20 11:16:44	Mostnegative	我々 幸福 なる  幸福 人 思う せる  四苦八苦 する いる
2018-10-20 09:46:50	Mostnegative	人生 送りバント
2018-10-20 08:16:42	Mostnegative	人生 リセット ボタン 電源 ボタン ある
2018-10-20 06:46:54	Mostnegative	生きる 理由 : 特に ない 死ぬ 理由 : 特に ない
2018-10-20 05:16:41	Mostnegative	命 全て 人間 平等 与える られる いる 価値 平等 ない
2018-10-20 03:46:54	Mostnegative	お前 ら 代わり いる
2018-10-20 02:16:45	Mostnegative	人生 しょせん 金 全て きれい ごと  無い 人間 戯言
2018-10-20 00:46:55	Mostnegative	この世 平等 ゲーム ない
2018-10-19 23:16:43	Mostnegative	伸びる いく 生える くる
2018-10-19 21:46:49	Mostnegative	幸福 夢 過ぎる 苦労 現実
2018-10-19 18:46:51	Mostnegative	不幸 単独 やってくる
2018-10-19 17:16:41	Mostnegative	英雄 最後 鼻 つく 英雄 なる
2018-10-19 15:46:55	Mostnegative	命 全て 人間 平等 与える られる いる 価値 平等 ない
2018-10-19 14:16:45	Mostnegative	人 迷惑 かける 死ぬ 方法 ある 教える 欲しい
2018-10-19 12:46:55	Mostnegative	人生 送りバント
2018-10-19 11:16:40	Mostnegative	疑う 始まる
2018-10-19 09:46:52	Mostnegative	夢 叶う 夢
2018-10-19 08:16:41	Mostnegative	幸福 夢 過ぎる 苦労 現実
2018-10-19 06:46:50	Mostnegative	生きる 理由 : 特に ない 死ぬ 理由 : 特に ない
2018-10-19 05:16:42	Mostnegative	死ぬ  一時 苦 生きる  一生 苦
2018-10-19 02:16:43	Mostnegative	伸びる いく 生える くる
2018-10-19 00:46:53	Mostnegative	不幸 単独 やってくる
2018-10-18 23:16:43	Mostnegative	お前 ら 代わり いる
2018-10-18 21:46:53	Mostnegative	人 迷惑 かける 死ぬ 方法 ある 教える 欲しい
2018-10-18 20:16:41	Mostnegative	人生 送りバント
2018-10-18 18:46:51	Mostnegative	人生 リセット ボタン 電源 ボタン ある
2018-10-18 17:16:42	Mostnegative	生きる 理由 : 特に ない 死ぬ 理由 : 特に ない
2018-10-18 15:46:54	Mostnegative	夢 叶う 夢
2018-10-18 14:16:43	Mostnegative	命 全て 人間 平等 与える られる いる 価値 平等 ない
2018-10-18 12:46:51	Mostnegative	この世 平等 ゲーム ない
2018-10-18 11:16:42	Mostnegative	我々 幸福 なる  幸福 人 思う せる  四苦八苦 する いる
2018-10-18 09:46:50	Mostnegative	もっと 美しい 生まれる 生まれる
2018-10-18 08:16:41	Mostnegative	人 迷惑 かける 死ぬ 方法 ある 教える 欲しい
2018-10-18 06:46:52	Mostnegative	疑う 始まる
2018-10-18 05:16:41	Mostnegative	お前 ら 代わり いる
2018-10-18 03:46:52	Mostnegative	死ぬ  一時 苦 生きる  一生 苦
2018-10-18 02:16:44	Mostnegative	死ぬ  一 人
2018-10-18 00:46:52	Mostnegative	不幸 単独 やってくる
2018-10-17 21:46:49	Mostnegative	夢 叶う 夢
2018-10-17 20:16:42	Mostnegative	伸びる いく 生える くる
2018-10-17 18:46:52	Mostnegative	命 全て 人間 平等 与える られる いる 価値 平等 ない
2018-10-17 17:16:47	Mostnegative	人生 送りバント
2018-10-17 15:46:53	Mostnegative	幸福 夢 過ぎる 苦労 現実
2018-10-17 14:16:42	Mostnegative	疑う 始まる
2018-10-17 12:46:54	Mostnegative	我々 幸福 なる  幸福 人 思う せる  四苦八苦 する いる
2018-10-17 11:16:43	Mostnegative	人生 しょせん 金 全て きれい ごと  無い 人間 戯言
2018-10-17 09:46:49	Mostnegative	死ぬ  一 人
2018-10-17 08:16:41	Mostnegative	この世 平等 ゲーム ない
2018-10-17 06:46:58	Mostnegative	お前 ら 代わり いる
2018-10-17 05:16:46	Mostnegative	不幸 単独 やってくる
2018-10-17 03:46:58	Mostnegative	夢 叶う 夢
2018-10-17 02:16:45	Mostnegative	もっと 美しい 生まれる 生まれる
2018-10-17 00:46:53	Mostnegative	死ぬ  一時 苦 生きる  一生 苦
2018-10-16 23:16:42	Mostnegative	暮れ ない 昼 ない
2018-10-16 21:46:52	Mostnegative	人生 リセット ボタン 電源 ボタン ある
2018-10-16 20:16:44	Mostnegative	生きる 理由 : 特に ない 死ぬ 理由 : 特に ない
2018-10-16 18:46:52	Mostnegative	この世 平等 ゲーム ない
2018-10-16 17:16:44	Mostnegative	不幸 単独 やってくる
2018-10-16 15:46:55	Mostnegative	英雄 最後 鼻 つく 英雄 なる
2018-10-16 14:16:46	Mostnegative	人生 送りバント
2018-10-16 12:46:55	Mostnegative	お前 ら 代わり いる
2018-10-16 11:16:42	Mostnegative	死ぬ  一時 苦 生きる  一生 苦
