2018-10-31 02:35:37	nega_bot	存在 自体 エラー
2018-10-31 02:05:39	nega_bot	起動 できる
2018-10-31 01:35:38	nega_bot	原発 行く 存在 意義 ある
2018-10-31 01:05:38	nega_bot	どうせ 死ぬ
2018-10-31 00:05:37	nega_bot	いつ なる 終わる  かなう  考える てる
2018-10-30 23:35:40	nega_bot	調査 マジ しんどい
2018-10-30 23:05:45	nega_bot	始まる 前 終わる てる
2018-10-30 22:35:31	nega_bot	富士 樹海 一 枚
2018-10-30 22:05:28	nega_bot	頑張れる
2018-10-30 21:35:33	nega_bot	どこ 行く いい
2018-10-30 21:05:27	nega_bot	這う 上がる 無理
2018-10-30 20:35:32	nega_bot	犬 またぐ 通る
2018-10-30 20:05:28	nega_bot	なんで 俺
2018-10-30 19:35:35	nega_bot	みんな 何  生きる てる ?
2018-10-30 19:05:29	nega_bot	優しい さ つらい すぎる
2018-10-30 18:05:28	nega_bot	酸素 消費 する
2018-10-30 17:35:36	nega_bot	どうせ 死ぬ くせ 死ぬ 死ぬ 言う マジ ー  ゴミ
2018-10-30 17:05:28	nega_bot	誰 必要 する れる
2018-10-30 16:35:32	nega_bot	くだる
2018-10-30 16:05:28	nega_bot	研究 計画 書 嘘 書ける
2018-10-30 15:35:37	nega_bot	死ねる ビビる
2018-10-30 15:05:29	nega_bot	なんで
2018-10-30 14:05:42	nega_bot	もう 死ぬ ない
2018-10-30 13:35:42	nega_bot	最初 期待 する てる
2018-10-30 13:05:41	nega_bot	酸素 消費 する てる 有害
2018-10-30 12:35:37	nega_bot	誰  する
2018-10-30 12:05:38	nega_bot	コミュニケーション できる
2018-10-30 11:35:43	nega_bot	酸素 消費 する
2018-10-30 11:05:46	nega_bot	程度 絶望 言う てる  もう ダメ
2018-10-30 10:35:37	nega_bot	クズ 優しい すぎる
2018-10-30 09:35:39	nega_bot	どうせ ダメ
2018-10-30 08:35:38	nega_bot	もう 無理 泣き言 出る くる
2018-10-30 08:05:40	nega_bot	ガス 栓 開ける 怖い すぐ 閉める
